symbol,timestamp,open,high,low,close,volume,oi
NSE:NIFTY2580724800CE,2025-07-31 09:15:00,120,130.3,100.05,117.35,536775,1689375
NSE:NIFTY2580724800CE,2025-07-31 09:16:00,114.85,115,107.45,107.9,268350,1689375
NSE:NIFTY2580724800CE,2025-07-31 09:17:00,107.7,109.3,100.95,107.75,245400,1689375
NSE:NIFTY2580724800CE,2025-07-31 09:18:00,106.4,116.05,105.65,111.6,225525,1781475
NSE:NIFTY2580724800CE,2025-07-31 09:19:00,113.35,118,111.8,116.45,113025,1781475
NSE:NIFTY2580724800CE,2025-07-31 09:20:00,116.5,133.6,113.45,128.05,259950,1781475
NSE:NIFTY2580724800CE,2025-07-31 09:21:00,127,134.1,125.85,132.15,453750,1856325
NSE:NIFTY2580724800CE,2025-07-31 09:22:00,131,132.85,122.4,132.2,337725,1856325
NSE:NIFTY2580724800CE,2025-07-31 09:23:00,132.1,139.7,130.55,131.95,352650,1856325
NSE:NIFTY2580724800CE,2025-07-31 09:24:00,132,135.45,126.55,134,189000,1955925
NSE:NIFTY2580724800CE,2025-07-31 09:25:00,132.95,134.1,122.1,124,107250,1955925
NSE:NIFTY2580724800CE,2025-07-31 09:26:00,123.7,132,120.9,132,99525,1955925
NSE:NIFTY2580724800CE,2025-07-31 09:27:00,132.8,136.25,129.85,133.5,114000,1979475
NSE:NIFTY2580724800CE,2025-07-31 09:28:00,133.25,134.25,129.45,130.35,108900,1979475
NSE:NIFTY2580724800CE,2025-07-31 09:29:00,130.6,133.5,127.55,128.55,124950,1979475
NSE:NIFTY2580724800CE,2025-07-31 09:30:00,128.45,128.6,123.45,127.95,83550,2067675
NSE:NIFTY2580724800CE,2025-07-31 09:31:00,125.95,133.1,123,131.6,76575,2067675
NSE:NIFTY2580724800CE,2025-07-31 09:32:00,131.25,135.8,130.8,131.5,70725,2067675
NSE:NIFTY2580724800CE,2025-07-31 09:33:00,131.55,132.55,123.95,123.95,80400,2072100
NSE:NIFTY2580724800CE,2025-07-31 09:34:00,125.3,133.1,125.1,133.1,56550,2072100
NSE:NIFTY2580724800CE,2025-07-31 09:35:00,132.95,132.95,124.6,126.6,66450,2072100
NSE:NIFTY2580724800CE,2025-07-31 09:36:00,126.9,126.9,123.1,123.5,60225,2115675
NSE:NIFTY2580724800CE,2025-07-31 09:37:00,123.7,126.9,123.15,125.25,68100,2115675
NSE:NIFTY2580724800CE,2025-07-31 09:38:00,124.5,124.5,120.4,120.85,94500,2115675
NSE:NIFTY2580724800CE,2025-07-31 09:39:00,120.7,122.6,119.25,121.15,81225,2190750
NSE:NIFTY2580724800CE,2025-07-31 09:40:00,121.1,123.45,118.15,122.25,51375,2190750
NSE:NIFTY2580724800CE,2025-07-31 09:41:00,121.85,128.55,121.85,126,201300,2190750
NSE:NIFTY2580724800CE,2025-07-31 09:42:00,126.2,127.3,122,127,46350,2186475
NSE:NIFTY2580724800CE,2025-07-31 09:43:00,127.25,127.4,124.6,126.65,28650,2186475
NSE:NIFTY2580724800CE,2025-07-31 09:44:00,126.3,128,125.5,126.25,54450,2186475
NSE:NIFTY2580724800CE,2025-07-31 09:45:00,125.9,127.55,124,126.55,49875,2205300
NSE:NIFTY2580724800CE,2025-07-31 09:46:00,125.8,127.1,123.95,125.85,30150,2205300
NSE:NIFTY2580724800CE,2025-07-31 09:47:00,125.8,126.8,120.75,120.75,48075,2205300
NSE:NIFTY2580724800CE,2025-07-31 09:48:00,121.35,125.05,118.85,123.5,54300,2228325
NSE:NIFTY2580724800CE,2025-07-31 09:49:00,123.5,123.5,118.35,121,56025,2228325
NSE:NIFTY2580724800CE,2025-07-31 09:50:00,121.2,123,119.15,120.6,40350,2228325
NSE:NIFTY2580724800CE,2025-07-31 09:51:00,120.15,124.95,119.75,124.75,97275,2237250
NSE:NIFTY2580724800CE,2025-07-31 09:52:00,124.75,126.85,124.75,125.5,82500,2237250
NSE:NIFTY2580724800CE,2025-07-31 09:53:00,125.65,126.9,122.85,125.8,44475,2237250
NSE:NIFTY2580724800CE,2025-07-31 09:54:00,126.25,126.7,122.05,125.7,52575,2294925
NSE:NIFTY2580724800CE,2025-07-31 09:55:00,125.55,126.25,123.25,125.05,48675,2294925
NSE:NIFTY2580724800CE,2025-07-31 09:56:00,125.55,126.2,124.1,125.1,32475,2294925
NSE:NIFTY2580724800CE,2025-07-31 09:57:00,125.3,125.3,118.2,118.95,85725,2337975
NSE:NIFTY2580724800CE,2025-07-31 09:58:00,119.3,122.4,118.75,121.8,39375,2337975
NSE:NIFTY2580724800CE,2025-07-31 09:59:00,121.45,122.25,119.6,119.9,50775,2337975
NSE:NIFTY2580724800CE,2025-07-31 10:00:00,119.7,119.75,110.2,111.9,239325,2389950
NSE:NIFTY2580724800CE,2025-07-31 10:01:00,111.85,115.25,109.7,112.95,126750,2389950
NSE:NIFTY2580724800CE,2025-07-31 10:02:00,112.55,113.05,108.35,108.85,107550,2389950
NSE:NIFTY2580724800CE,2025-07-31 10:03:00,108.25,111,107.25,110.65,103500,2487525
NSE:NIFTY2580724800CE,2025-07-31 10:04:00,110.9,111.9,109.15,109.5,65850,2487525
NSE:NIFTY2580724800CE,2025-07-31 10:05:00,109.75,111.8,109,110.75,77550,2487525
NSE:NIFTY2580724800CE,2025-07-31 10:06:00,110.05,111.25,109.4,110.75,52650,2543850
NSE:NIFTY2580724800CE,2025-07-31 10:07:00,111.3,117,110.5,116.35,208500,2543850
NSE:NIFTY2580724800CE,2025-07-31 10:08:00,117,117.9,113.8,114.25,109275,2543850
NSE:NIFTY2580724800CE,2025-07-31 10:09:00,114.05,115.75,113.75,114.3,72300,2636550
NSE:NIFTY2580724800CE,2025-07-31 10:10:00,114.1,114.4,109.9,112.55,71550,2636550
