symbol,timestamp,open,high,low,close,volume,oi
NSE:NIFTY2580724250PE,2025-07-31 09:15:00,42.75,44.55,36.15,43.5,108975,377925
NSE:NIFTY2580724250PE,2025-07-31 09:16:00,44.15,49.3,43.95,48.35,40725,377925
NSE:NIFTY2580724250PE,2025-07-31 09:17:00,48.5,52.95,47.7,48.35,45300,377925
NSE:NIFTY2580724250PE,2025-07-31 09:18:00,48.3,49,44.9,47.45,26625,381225
NSE:NIFTY2580724250PE,2025-07-31 09:19:00,47.25,47.25,43.2,43.4,28575,381225
NSE:NIFTY2580724250PE,2025-07-31 09:20:00,43,44.1,37.55,39.55,62700,381225
NSE:NIFTY2580724250PE,2025-07-31 09:21:00,39.6,40.25,38,39.8,23925,389850
NSE:NIFTY2580724250PE,2025-07-31 09:22:00,39.55,43.85,39.55,40.75,51075,389850
NSE:NIFTY2580724250PE,2025-07-31 09:23:00,40.95,41.25,39,40.5,33900,389850
NSE:NIFTY2580724250PE,2025-07-31 09:24:00,40.3,40.7,38,38.6,44100,390225
NSE:NIFTY2580724250PE,2025-07-31 09:25:00,38.25,41.05,38,40.9,47775,390225
NSE:NIFTY2580724250PE,2025-07-31 09:26:00,41.05,41.05,37.95,38.2,20100,390225
NSE:NIFTY2580724250PE,2025-07-31 09:27:00,38.2,39.25,37.6,38.45,20325,406275
NSE:NIFTY2580724250PE,2025-07-31 09:28:00,38.45,39.15,38.05,38.5,7425,406275
NSE:NIFTY2580724250PE,2025-07-31 09:29:00,38.1,39.5,37.95,39.5,8775,406275
NSE:NIFTY2580724250PE,2025-07-31 09:30:00,39.5,40.9,38.4,38.55,8625,403350
NSE:NIFTY2580724250PE,2025-07-31 09:31:00,38.75,40.55,37.5,38.2,14775,403350
NSE:NIFTY2580724250PE,2025-07-31 09:32:00,37.8,39.2,37,39.2,7425,403350
NSE:NIFTY2580724250PE,2025-07-31 09:33:00,39.2,40.9,38.6,40.6,6975,403575
NSE:NIFTY2580724250PE,2025-07-31 09:34:00,40.45,40.45,37.85,38.05,10650,403575
NSE:NIFTY2580724250PE,2025-07-31 09:35:00,38.35,40.4,38.3,40,6075,403575
NSE:NIFTY2580724250PE,2025-07-31 09:36:00,40.05,41,40,40.2,12900,406050
NSE:NIFTY2580724250PE,2025-07-31 09:37:00,40.85,40.9,38.1,38.4,12900,406050
NSE:NIFTY2580724250PE,2025-07-31 09:38:00,38.1,40,38.1,39.6,23025,406050
NSE:NIFTY2580724250PE,2025-07-31 09:39:00,39.6,40.8,39.5,40.15,12300,410550
NSE:NIFTY2580724250PE,2025-07-31 09:40:00,40.35,41.1,39.6,40.2,13800,410550
NSE:NIFTY2580724250PE,2025-07-31 09:41:00,39.45,39.45,37.8,38.65,7350,410550
NSE:NIFTY2580724250PE,2025-07-31 09:42:00,38.85,39.7,38.35,38.65,3675,409350
NSE:NIFTY2580724250PE,2025-07-31 09:43:00,38.75,39.55,38.5,38.6,8325,409350
NSE:NIFTY2580724250PE,2025-07-31 09:44:00,38.6,38.6,37.3,37.75,14700,409350
NSE:NIFTY2580724250PE,2025-07-31 09:45:00,38.2,38.65,37.2,37.8,10500,413625
NSE:NIFTY2580724250PE,2025-07-31 09:46:00,37.75,38.2,37.5,37.85,7425,413625
NSE:NIFTY2580724250PE,2025-07-31 09:47:00,37.95,39.15,37.7,38.75,6225,413625
NSE:NIFTY2580724250PE,2025-07-31 09:48:00,39,39.7,38.25,38.65,7050,417000
NSE:NIFTY2580724250PE,2025-07-31 09:49:00,38.6,40.45,38.6,39.6,6300,417000
NSE:NIFTY2580724250PE,2025-07-31 09:50:00,39.3,40.2,39.15,40.05,2025,417000
NSE:NIFTY2580724250PE,2025-07-31 09:51:00,39.75,39.75,38.4,38.65,4275,416925
NSE:NIFTY2580724250PE,2025-07-31 09:52:00,38.5,38.5,37.95,38.2,5700,416925
NSE:NIFTY2580724250PE,2025-07-31 09:53:00,38.3,38.55,37.65,37.85,10200,416925
NSE:NIFTY2580724250PE,2025-07-31 09:54:00,38,38.7,37.9,37.9,3825,419775
NSE:NIFTY2580724250PE,2025-07-31 09:55:00,37.9,38.3,37.6,37.8,3375,419775
NSE:NIFTY2580724250PE,2025-07-31 09:56:00,37.8,37.9,37.3,37.5,2925,419775
NSE:NIFTY2580724250PE,2025-07-31 09:57:00,37.5,38.8,37.35,38.75,3600,420900
NSE:NIFTY2580724250PE,2025-07-31 09:58:00,38.75,39.2,38.2,38.2,8775,420900
NSE:NIFTY2580724250PE,2025-07-31 09:59:00,38.6,38.9,38.2,38.9,2700,420900
NSE:NIFTY2580724250PE,2025-07-31 10:00:00,38.75,41.9,38.65,41.9,25575,423675
NSE:NIFTY2580724250PE,2025-07-31 10:01:00,41.9,44,40.65,41.85,24750,423675
NSE:NIFTY2580724250PE,2025-07-31 10:02:00,41.85,42.7,41.6,42.45,10500,423675
NSE:NIFTY2580724250PE,2025-07-31 10:03:00,43,43.15,42.3,42.4,23775,413775
NSE:NIFTY2580724250PE,2025-07-31 10:04:00,42.3,42.85,41,42.45,11325,413775
NSE:NIFTY2580724250PE,2025-07-31 10:05:00,42.15,42.3,40.8,41.45,11250,413775
NSE:NIFTY2580724250PE,2025-07-31 10:06:00,41.6,41.85,41.1,41.45,4950,409950
NSE:NIFTY2580724250PE,2025-07-31 10:07:00,40.85,41.25,38.15,38.4,15375,409950
NSE:NIFTY2580724250PE,2025-07-31 10:08:00,38.2,39.9,37.7,39.9,15525,409950
NSE:NIFTY2580724250PE,2025-07-31 10:09:00,39.9,40.2,39.35,39.8,7200,420825
NSE:NIFTY2580724250PE,2025-07-31 10:10:00,39.75,42,39.75,40.65,10500,420825
NSE:NIFTY2580724250PE,2025-07-31 10:11:00,40.25,40.5,39.15,40.5,6225,420825
NSE:NIFTY2580724250PE,2025-07-31 10:12:00,40.45,41.35,40.4,41.35,7350,423900
NSE:NIFTY2580724250PE,2025-07-31 10:13:00,41.35,42.4,40.75,41.75,5625,423900
NSE:NIFTY2580724250PE,2025-07-31 10:14:00,41.75,41.75,40.65,40.95,2850,423900
NSE:NIFTY2580724250PE,2025-07-31 10:15:00,40.9,41.75,40.35,40.55,9000,423075
NSE:NIFTY2580724250PE,2025-07-31 10:16:00,40.15,40.3,39.15,40.3,6825,423075
NSE:NIFTY2580724250PE,2025-07-31 10:17:00,40.35,41.65,40.35,41.05,6300,423075
