symbol,timestamp,open,high,low,close,volume,oi
NSE:NIFTY2580724950PE,2025-07-31 09:15:00,219.2,318.5,219.2,301.1,60675,171900
NSE:NIFTY2580724950PE,2025-07-31 09:16:00,302.25,325.4,302.25,325.4,19425,171900
NSE:NIFTY2580724950PE,2025-07-31 09:17:00,325,344.25,325,325,44175,171900
NSE:NIFTY2580724950PE,2025-07-31 09:18:00,328.05,328.7,311,322.15,36750,124125
NSE:NIFTY2580724950PE,2025-07-31 09:19:00,316.2,319.7,310.85,313,3900,124125
NSE:NIFTY2580724950PE,2025-07-31 09:20:00,312.2,317.8,286.1,294.05,15825,124125
NSE:NIFTY2580724950PE,2025-07-31 09:21:00,288.1,297.5,288.1,291,3375,116250
NSE:NIFTY2580724950PE,2025-07-31 09:22:00,293.35,309.5,292.3,292.3,11625,116250
NSE:NIFTY2580724950PE,2025-07-31 09:23:00,293.6,294.6,283.1,294.6,6225,116250
NSE:NIFTY2580724950PE,2025-07-31 09:24:00,297.45,301.9,289.5,289.5,7125,109650
NSE:NIFTY2580724950PE,2025-07-31 09:25:00,289.2,305.45,289.2,304.95,2925,109650
NSE:NIFTY2580724950PE,2025-07-31 09:26:00,303.9,306,289.7,290.25,1725,109650
NSE:NIFTY2580724950PE,2025-07-31 09:27:00,288.35,292,284.25,291.1,2100,107325
NSE:NIFTY2580724950PE,2025-07-31 09:28:00,288.95,294.3,287.65,292.15,2175,107325
NSE:NIFTY2580724950PE,2025-07-31 09:29:00,291.55,297.2,291.55,297.2,1125,107325
NSE:NIFTY2580724950PE,2025-07-31 09:30:00,300,306.65,299,299,2325,107100
NSE:NIFTY2580724950PE,2025-07-31 09:31:00,304,306.9,290.1,292.05,1500,107100
NSE:NIFTY2580724950PE,2025-07-31 09:32:00,289.65,292.5,286.85,290.3,1050,107100
NSE:NIFTY2580724950PE,2025-07-31 09:33:00,292.8,305,292.8,305,1200,106650
NSE:NIFTY2580724950PE,2025-07-31 09:34:00,298.85,298.85,289.9,289.9,1650,106650
NSE:NIFTY2580724950PE,2025-07-31 09:35:00,296,301.45,296,300.85,4200,106650
NSE:NIFTY2580724950PE,2025-07-31 09:36:00,303.4,305.9,301.5,303.65,1575,107925
NSE:NIFTY2580724950PE,2025-07-31 09:37:00,304.55,305,297.2,297.2,600,107925
NSE:NIFTY2580724950PE,2025-07-31 09:38:00,301.35,304.8,300.45,304,10950,107925
NSE:NIFTY2580724950PE,2025-07-31 09:39:00,306.7,306.7,305,306,1275,104250
NSE:NIFTY2580724950PE,2025-07-31 09:40:00,305.75,307,302.55,303.55,1650,104250
NSE:NIFTY2580724950PE,2025-07-31 09:41:00,297.65,297.65,293.25,296.05,2175,104250
NSE:NIFTY2580724950PE,2025-07-31 09:42:00,297,297,295.65,296.35,300,102900
NSE:NIFTY2580724950PE,2025-07-31 09:43:00,295.65,296.95,295.15,296.95,300,102900
NSE:NIFTY2580724950PE,2025-07-31 09:44:00,296.15,296.15,292.75,296.15,1425,102900
NSE:NIFTY2580724950PE,2025-07-31 09:45:00,296.15,296.15,292.85,292.85,825,103125
NSE:NIFTY2580724950PE,2025-07-31 09:46:00,294.95,296.05,294.95,295.35,225,103125
NSE:NIFTY2580724950PE,2025-07-31 09:47:00,296.1,300.7,296.1,299.95,600,103125
NSE:NIFTY2580724950PE,2025-07-31 09:48:00,304.15,305.55,298.9,298.9,1125,103650
NSE:NIFTY2580724950PE,2025-07-31 09:49:00,300.1,307.45,300.1,304.55,1125,103650
NSE:NIFTY2580724950PE,2025-07-31 09:50:00,303.75,307.35,301.1,306.65,975,103650
NSE:NIFTY2580724950PE,2025-07-31 09:51:00,305.4,306.05,296.9,298.85,1500,102225
NSE:NIFTY2580724950PE,2025-07-31 09:52:00,293.9,295.65,293.9,295.65,2250,102225
NSE:NIFTY2580724950PE,2025-07-31 09:53:00,294.95,296.5,293.45,293.6,1050,102225
NSE:NIFTY2580724950PE,2025-07-31 09:54:00,295.8,297.9,295.55,297.6,2175,102300
NSE:NIFTY2580724950PE,2025-07-31 09:55:00,296.25,296.25,296.25,296.25,225,102300
NSE:NIFTY2580724950PE,2025-07-31 09:56:00,294.8,295.3,293.4,293.4,225,102300
NSE:NIFTY2580724950PE,2025-07-31 09:57:00,299.8,303.2,299.8,302.95,300,102750
